index,date,secPrecipBulk,year
1434,2021-01-12,0.0,2021.0
1435,2021-01-13,0.0,2021.0
1436,2021-01-14,1.006,2021.0
1437,2021-01-15,0.0,2021.0
1438,2021-01-16,35.683,2021.0
1439,2021-01-17,0.0,2021.0
1440,2021-01-18,0.0,2021.0
1441,2021-01-19,0.0,2021.0
1442,2021-01-20,0.0,2021.0
1443,2021-01-21,0.0,2021.0
1444,2021-01-22,0.0,2021.0
1445,2021-01-23,0.0,2021.0
1446,2021-01-24,0.0,2021.0
1447,2021-01-25,0.0,2021.0
1448,2021-01-26,5.026,2021.0
1449,2021-01-27,1.006,2021.0
1450,2021-01-28,0.0,2021.0
1451,2021-01-29,0.0,2021.0
1452,2021-01-30,0.0,2021.0
1453,2021-01-31,0.0,2021.0
1454,2021-02-01,0.503,2021.0
1455,2021-02-02,2.515,2021.0
1456,2021-02-03,0.0,2021.0
1457,2021-02-04,0.0,2021.0
1458,2021-02-05,0.0,2021.0
1459,2021-02-06,0.0,2021.0
1460,2021-02-07,3.521,2021.0
1461,2021-02-08,0.0,2021.0
1462,2021-02-09,3.018,2021.0
1463,2021-02-10,0.0,2021.0
1464,2021-02-11,0.0,2021.0
1465,2021-02-12,0.0,2021.0
1466,2021-02-13,0.0,2021.0
1467,2021-02-14,0.0,2021.0
1468,2021-02-15,0.0,2021.0
1469,2021-02-16,27.139,2021.0
1470,2021-02-17,0.0,2021.0
1471,2021-02-18,0.0,2021.0
1472,2021-02-19,1.509,2021.0
1473,2021-02-20,0.0,2021.0
1474,2021-02-21,0.0,2021.0
1475,2021-02-22,6.534999999999999,2021.0
1476,2021-02-23,0.503,2021.0
1477,2021-02-24,0.0,2021.0
1478,2021-02-25,0.0,2021.0
1479,2021-02-26,0.0,2021.0
1480,2021-02-27,5.026999999999999,2021.0
1481,2021-02-28,0.0,2021.0
1482,2021-03-01,4.024,2021.0
1483,2021-03-02,0.0,2021.0
1484,2021-03-03,0.0,2021.0
1485,2021-03-04,0.0,2021.0
1486,2021-03-05,0.0,2021.0
1487,2021-03-06,0.0,2021.0
1488,2021-03-07,0.0,2021.0
1489,2021-03-08,0.0,2021.0
1490,2021-03-09,0.0,2021.0
1491,2021-03-10,0.0,2021.0
1492,2021-03-11,0.0,2021.0
1493,2021-03-12,0.0,2021.0
1494,2021-03-13,0.0,2021.0
1495,2021-03-14,0.0,2021.0
1496,2021-03-15,0.0,2021.0
1497,2021-03-16,0.0,2021.0
1498,2021-03-17,0.0,2021.0
1499,2021-03-18,14.578,2021.0
1500,2021-03-19,1.509,2021.0
1501,2021-03-20,0.0,2021.0
1502,2021-03-21,0.0,2021.0
1503,2021-03-22,0.0,2021.0
1504,2021-03-23,0.0,2021.0
1505,2021-03-24,0.0,2021.0
1506,2021-03-25,3.017,2021.0
1507,2021-03-26,3.016,2021.0
1508,2021-03-27,0.0,2021.0
1509,2021-03-28,17.59,2021.0
1510,2021-03-29,4.525,2021.0
1511,2021-03-30,0.0,2021.0
1512,2021-03-31,0.0,2021.0
1513,2021-04-01,5.027,2021.0
1514,2021-04-02,0.0,2021.0
1515,2021-04-03,0.0,2021.0
1516,2021-04-04,0.0,2021.0
1517,2021-04-05,0.0,2021.0
1518,2021-04-06,0.0,2021.0
1519,2021-04-07,0.0,2021.0
1520,2021-04-08,0.0,2021.0
1521,2021-04-09,0.0,2021.0
1522,2021-04-10,0.0,2021.0
1523,2021-04-11,0.0,2021.0
1524,2021-04-12,1.006,2021.0
1525,2021-04-13,0.0,2021.0
1526,2021-04-14,0.0,2021.0
1527,2021-04-15,13.068,2021.0
1528,2021-04-16,25.639,2021.0
1529,2021-04-17,0.503,2021.0
1530,2021-04-18,0.0,2021.0
1531,2021-04-19,0.0,2021.0
1532,2021-04-20,0.0,2021.0
1533,2021-04-21,15.58,2021.0
1534,2021-04-22,0.0,2021.0
1535,2021-04-23,0.0,2021.0
1536,2021-04-24,0.0,2021.0
1537,2021-04-25,2.012,2021.0
1538,2021-04-26,0.0,2021.0
1539,2021-04-27,0.0,2021.0
1540,2021-04-28,7.54,2021.0
1541,2021-04-29,51.26,2021.0
1542,2021-04-30,9.047,2021.0
1543,2021-05-01,1.509,2021.0
1544,2021-05-02,0.503,2021.0
1545,2021-05-03,0.0,2021.0
1546,2021-05-04,6.535,2021.0
1547,2021-05-05,39.201,2021.0
1548,2021-05-06,4.021,2021.0
1549,2021-05-07,0.0,2021.0
1550,2021-05-08,0.0,2021.0
1551,2021-05-09,0.0,2021.0
1552,2021-05-10,13.066999999999998,2021.0
1553,2021-05-11,0.0,2021.0
1554,2021-05-12,0.0,2021.0
1555,2021-05-13,0.0,2021.0
1556,2021-05-14,0.0,2021.0
1557,2021-05-15,0.0,2021.0
1558,2021-05-16,1.509,2021.0
1559,2021-05-17,0.0,2021.0
1560,2021-05-18,0.503,2021.0
1561,2021-05-19,0.0,2021.0
1562,2021-05-20,0.0,2021.0
1563,2021-05-21,0.0,2021.0
1564,2021-05-22,0.0,2021.0
1565,2021-05-23,2.513,2021.0
1566,2021-05-24,0.0,2021.0
1567,2021-05-25,0.0,2021.0
1568,2021-05-26,9.549,2021.0
1569,2021-05-27,6.032,2021.0
1570,2021-05-28,4.022,2021.0
1571,2021-05-29,34.178,2021.0
1572,2021-05-30,18.093999999999998,2021.0
1573,2021-05-31,13.069,2021.0
1574,2021-06-01,0.0,2021.0
1575,2021-06-02,0.0,2021.0
1576,2021-06-03,0.0,2021.0
1577,2021-06-04,0.0,2021.0
1578,2021-06-05,0.0,2021.0
1579,2021-06-06,0.0,2021.0
1580,2021-06-07,0.0,2021.0
1581,2021-06-08,1.509,2021.0
1582,2021-06-09,1.006,2021.0
1583,2021-06-10,0.0,2021.0
1584,2021-06-11,0.0,2021.0
1585,2021-06-12,16.586,2021.0
1586,2021-06-13,0.0,2021.0
1587,2021-06-14,18.596,2021.0
1588,2021-06-15,0.0,2021.0
1589,2021-06-16,0.0,2021.0
1590,2021-06-17,0.0,2021.0
1591,2021-06-18,0.0,2021.0
1592,2021-06-19,0.0,2021.0
1593,2021-06-20,0.0,2021.0
1594,2021-06-21,0.0,2021.0
1595,2021-06-22,7.036999999999999,2021.0
1596,2021-06-23,0.503,2021.0
1597,2021-06-24,0.0,2021.0
1598,2021-06-25,1.509,2021.0
1599,2021-06-26,0.0,2021.0
1600,2021-06-27,0.0,2021.0
1601,2021-06-28,0.0,2021.0
1602,2021-06-29,0.0,2021.0
1603,2021-06-30,43.217,2021.0
1604,2021-07-01,8.043,2021.0
1605,2021-07-02,29.157,2021.0
1606,2021-07-03,10.055,2021.0
1607,2021-07-04,8.548,2021.0
1608,2021-07-05,0.0,2021.0
1609,2021-07-06,20.605,2021.0
1610,2021-07-07,0.0,2021.0
1611,2021-07-08,19.099999999999998,2021.0
1612,2021-07-09,32.166,2021.0
1613,2021-07-10,4.021,2021.0
1614,2021-07-11,0.503,2021.0
1615,2021-07-12,52.766999999999996,2021.0
1616,2021-07-13,3.519,2021.0
1617,2021-07-14,24.122,2021.0
1618,2021-07-15,0.503,2021.0
1619,2021-07-16,0.0,2021.0
1620,2021-07-17,12.564,2021.0
1621,2021-07-18,63.823,2021.0
1622,2021-07-19,9.048,2021.0
1623,2021-07-20,0.503,2021.0
1624,2021-07-21,2.011,2021.0
1625,2021-07-22,0.0,2021.0
1626,2021-07-23,0.503,2021.0
1627,2021-07-24,0.0,2021.0
1628,2021-07-25,0.0,2021.0
1629,2021-07-26,0.0,2021.0
1630,2021-07-27,21.608999999999998,2021.0
1631,2021-07-28,0.0,2021.0
1632,2021-07-29,11.559,2021.0
1633,2021-07-30,3.518,2021.0
1634,2021-07-31,0.0,2021.0
1635,2021-08-01,0.0,2021.0
1636,2021-08-02,1.508,2021.0
1637,2021-08-03,0.0,2021.0
1638,2021-08-04,0.0,2021.0
1639,2021-08-05,1.509,2021.0
1640,2021-08-06,0.0,2021.0
1641,2021-08-07,0.0,2021.0
1642,2021-08-08,0.0,2021.0
